code	name	quantity	price
PFSCV325G        	GIFT RESURFASLIM CREME PEELING ET       	10	44,91
PFSCV325L        	RESURFASLIM CREME PEELING ET MINCEUR    	12	88,8
PFSOV159         	RESULTAT SOLEIL CREME AUTOBRONZANTE     	3	55,86
PFSOV169         	SUNACTIVE CREME SOLAIRE PROTECTRICE     	12	55,79
PFSOV171         	SUN RESET CREME SOLAIRE PROTECTRICE     	15	62,97
PFSOV171FA       	4 TUBES FACTICES SUN RESET CREME SOLAIRE	10	33,8
PFSOV171G        	GIFT SUN RESET CREME SOLAIRE PROTECTRICE	20	31,95
PFSVP005         	MASQUE ÉCLAT REGARD                     	3	110,56
PFSVP006         	BAUME DE MODELAGE REGARD                	2	71,04
PFSVP007         	PIONNIERE XMF FLUIDE REPROGRAMMANT      	3	114,93
PFSVP015         	CONTOUR RADIEUX MASQUE DEFATIGANT YEUX  	7	111,97
PFSVP016         	EXPERTISE AGE CONTOUR CREME INTENSE     	3	167,93
PFSVP019         	CONTOUR JEUNESSE  CREME DEFROISSANTE    	3	131,36
PFSVP047         	NUTRITIONNELLE CREME SOS SECHERESSE     	3	94,28
PFSVP100         	PERFECT VISAGE LAIT DEMAQUILLANT DOUCEUR	6	83,32
PFSVP101         	ROSEE VISAGE LOTION DEMAQUILLANTE TONIQ.	10	83,32
PFSVP102         	DOUX VISAGE CREME NETTOYANTE VELOUTEE   	10	52,24
PFSVP106         	EAU MICELLAIRE SOLUTION DEMAQUILLANTE   	5	50,02
PFSVP107         	SOUFFLE MARIN CREME MOUSSANTE NETTOYANTE	20	54,23
PFSVP109         	STRUCTURISTE CR?ME LIFT FERMETÉ         	5	117,97
PFSVP110         	PIONNIERE XMF CREME RICHE PERFECTION    	6	190,43
PFSVP112         	PEELING VEGETAL                         	6	78,29
PFSVP131         	DOUCEUR MARINE CREME APAISANTE          	2	105,68
PFSVP133         	DOUCEUR MARINE MASQUE APAISANT          	9	84,21
PFSVP137         	BI-GEL RENFORT UNIFORMISANT             	2	84,8
PFSVP138         	MASQUE RECONFORTANT PROTECTEUR          	4	185,32
PFSVP139         	CITADINE CREME SORBET VISAGE ET YEUX    	6	101,68
PFSVP140         	SERUM HUILEUX PEAUX FATIGUEES           	8	83,92
PFSVP141         	SERUM GELEE TEINT - TACHES              	8	83,92
PFSVP142         	MASQUE A MODELER FRAICHEUR DE PEAU      	10	113,52
PFSVP143         	BRUME MARINE                            	8	42,47
PFSVP180         	OLIGOPUR GEL NETTOYANT PURIFIANT        	10	53,35
PFSVP192         	MASQUE CHAUFFANT NETTOYANT              	20	76,22
PFSVP193         	OLIGOPUR MASQUE PEAU NETTE              	15	65,41
PFSVP259         	HYDRALGUE SERUM ULTRA-HYDRATANT         	6	123,22
PFSVP312         	HYDRA ORIGINEL CREME FONDANTE DESALTE-  	4	79,7
PFSVP318         	HYDRACONTINUE EMULSION ENERGISANTE ECLAT	3	49,28
PFSVP319         	HYDRALGUE MASQUE DESALTERANT REHYDRATANT	12	76,66
PFSVP323         	EXPERT JEUNESSE CREME CORRECTION RIDES  	5	91,24
PFSVP325         	DECOLLETE PARFAIT                       	2	109,9
PFSVP340         	MULTI-EXFOLIANT RESURFACANT             	3	127,44
PFSVP341         	CIRE COMBLEMENT RIDES                   	5	132,03
PFSVP342         	REVEIL JEUNESSE - MASQUE AGE-DEFENSE    	7	101,46
PFSVP343         	CONCENTRE RIDES                         	6	79,99
PFSVP344         	CONCENTRE FERMETE                       	6	79,99
PFSVP345         	MASQUE LISSANT TENSEUR - PLASTIFIANT    	7	189,99
PFSVP346         	EXFOLIANT ACIDE AUX AHA                 	6	101,31
PFSVP361         	GEL EXFOLIANT ECLAT LEVRES              	5	56,46
PFSVP383         	OLIGOPUR CREME CONTROLE HYDRA-MATIFIANTE	3	53,86
PFSVP384         	ACNIPUR FLUIDE SOLUTION IMPERFECTIONS   	20	54,46
PFSVP385         	SERUM POST-EXTRACTION                   	2	115,08
PFSVP386         	EXFOLIANT ACIDE DESINCRUSTANT           	2	100,35
PFSVP391         	CONCENTRE DE MODELAGE                   	6	72
PFSVP392         	MASQUE CIRE 2EME JEUNESSE               	2	207,97
PFSVP393         	MASQUE JEUNESSE DES LEVRES              	5	40,61
PFSVP394         	VMR PERFECTEUR DE PEAU FINAL            	3	98,35
PFSVP398         	CC CREME SOIN PERFECTEUR DE PEAU 02     	6	80,36
PFSVP399         	CC CREME SOIN PERFECTEUR DE PEAU 01     	6	80,36
PFSVP845         	FACIAL CONTROL - CREME HYDRA-MATIFIANTE 	3	69,85
PFSVP852         	AGE OPTIMAL CREME JEUNESSE              	3	79,99
PFSVV007         	PIONNIERE XMF FLUIDE REPROGRAMMANT      	9	132,92
PFSVV015         	CONTOUR RADIEUX MASQUE DEFATIGANT YEUX  	3	60,53
PFSVV016         	EXPERTISE AGE CONTOUR CREME INTENSE     	18	92,06
PFSVV019         	CONTOUR JEUNESSE  CREME DEFROISSANTE    	9	71,33
PFSVV038         	ACCEPT CREME HAUTE TOLERANCE            	9	67,78
PFSVV040         	ACCEPT MASQUE DESENSIBILISANT           	6	46,46
PFSVV042         	HYDRALGUE NUIT CREME ONCTUEUSE          	6	98,05
PFSVV047         	NUTRITIONNELLE CREME SOS SECHERESSE     	6	93,98
PFSVV100         	PERFECT VISAGE LAIT DEMAQUILLANT DOUCEUR	12	36,25
PFSVV101         	ROSEE VISAGE LOTION DEMAQUILLANTE       	18	36,25
PFSVV102         	DOUX VISAGE CREME NETTOYANTE VELOUTEE   	5	38,32
PFSVV106         	EAU MICELLAIRE SOLUTION DEMAQUILLANTE   	9	33,58
PFSVV107         	SOUFFLE MARIN CREME MOUSSANTE NETTOYANTE	27	40,02
PFSVV108         	OLIGOMARINE TONIQUE PEAU NETTE          	15	44,98
PFSVV109         	STRUCTURISTE CR?ME LIFT FERMETÉ         	9	116,04
PFSVV110         	PIONNIERE XMF CREME RICHE PERFECTION    	10	209,75
PFSVV111         	PIONNIERE XMF WHITE CREME TRANSPARENCE  	3	209,75
PFSVV112         	PEELING VEGETAL AUX ENZYMES NATURELLES  	3	45,06
PFSVV114         	PIONNIERE XMF CREME DE DEMAQUILLAGE     	3	73,26
PFSVV118         	SCRUB MARIN CREME DE GOMMAGE            	3	49,87
PFSVV124         	EAU MARINE LOTION TONIQUE SANS ALCOOL   	6	46,31
PFSVV130         	SOUFFLE MARIN SERUM OXYGENANT ENERGISANT	3	61,19
PFSVV131         	DOUCEUR MARINE CREME APAISANTE          	3	97,24
PFSVV133         	DOUCEUR MARINE MASQUE APAISANT COCON    	3	46,76
PFSVV134         	DOUCEUR INTEMPORELLE CREME              	3	110,19
PFSVV139L        	CITADINE CREME SORBET VISAGE ET YEUX    	9	101,31
PFSVV178         	GOMMAGE MARIN                           	3	45,35
PFSVV180         	OLIGOPUR GEL NETTOYANT PURIFIANT        	29	38,17
PFSVV188         	OLIGOPUR GEL CIBLE IMPERFECTIONS        	22	41,58
PFSVV193         	OLIGOPUR MASQUE PEAU NETTE              	5	46,24
PFSVV259         	HYDRALGUE SERUM ULTRA-HYDRATANT         	27	79,25
PFSVV304L        	ROSEE SOIN HUILE REGENERANTE ECLAT      	3	83,18
PFSVV311         	HYDRA ORIGINEL FLUIDE NON-GRAS ULTRA-   	9	71,33
PFSVV312         	HYDRA ORIGINEL CREME FONDANTE DESALTE-  	32	81,55
PFSVV314         	HYDRACONTINUE FLASH HYDRATANT 12H       	5	62,15
PFSVV318         	HYDRACONTINUE EMULSION ENERGISANTE ECLAT	15	51,2
PFSVV319         	HYDRALGUE MASQUE DESALTERANT REHYDRATANT	3	45,72
PFSVV322         	PERFORMANCE JEUNESSE SERUM RIDES ECLAT  	11	121,67
PFSVV323         	EXPERT JEUNESSE CREME CORRECTION RIDES  	13	100,64
PFSVV325         	DECOLLETE PARFAIT SOIN REGENERANT COU   	6	101,31
PFSVV326         	INITIAL JEUNESSE FLUIDE 1ERES RIDES     	13	74,37
PFSVV327         	RECHARGE NUIT CREME RENFORT JEUNESSE    	13	113,52
PFSVV342         	REVEIL JEUNESSE - MASQUE AGE-DEFENSE    	3	59,49
PFSVV383         	OLIGOPUR CREME CONTROLE HYDRA-MATIFIANTE	29	52,75
PFSVV384         	ACNIPUR FLUIDE SOLUTION IMPERFECTIONS   	42	53,2
PFSVV390         	PIONNIERE XMF CREME PERFECTION JEUNESSE 	6	209,75
PFSVV395         	PIONNIERE XMF SERUM RETEXTURANT ECLAT   	6	198,65
PFSVV396         	EMERGENCE SERUM PEAU NEUVE AFFINANT     	18	78,29
PFSVV398         	CC CREME SOIN PERFECTEUR DE PEAU 02     	33	56,46
PFSVV399         	CC CREME SOIN PERFECTEUR DE PEAU 01     	23	56,46
PFSVV436         	COFFRET FETE DES MERES 2017             	30	86,14
PFSVV454         	COFFRET ROSEE 2016                      	22	82,14
PFSVV845         	FACIAL CONTROL - CREME HYDRA-MATIFIANTE 	11	64,82
PFSVV852         	AGE OPTIMAL CREME JEUNESSE              	11	72,81
PPGIF0033        	FOUTA DE PLAGE PHYTOMER 2017            	20	45,06
PSSCV316T        	TESTEUR GLYCOLIGHT BI-GEL MINCEUR NUIT  	1	57,05
PSSCV317T        	TESTEUR CELLULI ATTACK CONCENTRE        	1	65,71
PSSOV171T        	TESTEUR SUN RESET CREME SOLAIRE         	6	39,73
PSSVV007T        	TESTEUR PIONNIERE XMF FLUIDE            	2	83,47
PSSVV109T        	TESTEUR STRUCTURISTE CR?ME LIFT FERMETÉ 	1	72,89
PSSVV398T        	TESTEUR CC CREME SOIN PERFECTEUR DE PEAU	2	35,73
PSSVV399T        	TESTEUR CC CREME SOIN PERFECTEUR DE PEAU	2	35,73
